Age,Attrition,Department,Gender,JobRole,MonthlyIncome,OverTime,PerformanceRating,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
41,Yes,Sales,Female,"Sales Executive",5993,Yes,3,8,1,6,4,0
49,No,"Research & Development",Male,"Research Scientist",5130,No,4,10,3,10,7,1
37,Yes,"Research & Development",Male,"Laboratory Technician",2090,Yes,3,7,3,0,0,0
33,No,"Research & Development",Female,"Research Scientist",2909,Yes,3,8,3,8,7,3
27,No,"Research & Development",Male,"Laboratory Technician",3468,No,3,6,3,2,2,2
32,No,"Research & Development",Male,"Laboratory Technician",3068,No,3,8,2,7,7,3
59,No,"Research & Development",Female,"Laboratory Technician",2670,Yes,4,12,2,1,0,0
30,No,"Research & Development",Male,"Laboratory Technician",2693,No,4,1,3,1,0,0
38,No,"Research & Development",Male,"Manufacturing Director",9526,No,4,10,3,9,7,1
36,No,"Research & Development",Male,"Healthcare Representative",5237,No,3,17,2,7,7,7
35,No,"Research & Development",Male,"Laboratory Technician",2426,No,3,6,3,5,4,0
29,No,"Research & Development",Female,"Laboratory Technician",4193,Yes,3,10,3,9,5,0
31,No,"Research & Development",Male,"Research Scientist",2911,No,3,5,2,5,2,4
34,No,"Research & Development",Male,"Laboratory Technician",2661,No,3,3,3,2,2,1
28,Yes,"Research & Development",Male,"Laboratory Technician",2028,Yes,3,6,3,4,2,0
29,No,"Research & Development",Female,"Manufacturing Director",9980,No,3,10,3,10,9,8
32,No,"Research & Development",Male,"Research Scientist",3298,Yes,3,7,2,6,2,0
22,No,"Research & Development",Male,"Laboratory Technician",2935,Yes,3,1,2,1,0,0
53,No,Sales,Female,Manager,15427,No,3,31,3,25,8,3
38,No,"Research & Development",Male,"Research Scientist",3944,Yes,3,6,3,3,2,1
24,No,"Research & Development",Female,"Manufacturing Director",4011,No,3,5,2,4,2,1
36,Yes,Sales,Male,"Sales Representative",3407,No,4,10,3,5,3,0
34,No,"Research & Development",Female,"Research Director",11994,No,3,13,3,12,6,2
21,No,"Research & Development",Male,"Research Scientist",1232,No,3,0,3,0,0,0
34,Yes,"Research & Development",Male,"Research Scientist",2960,No,3,8,3,4,2,1
53,No,"Research & Development",Female,Manager,19094,No,3,26,2,14,13,4
32,Yes,"Research & Development",Female,"Research Scientist",3919,Yes,4,10,3,10,2,6
42,No,Sales,Male,"Sales Executive",6825,No,3,10,3,9,7,4
44,No,"Research & Development",Female,"Healthcare Representative",10248,No,3,24,3,22,6,5
46,No,Sales,Female,Manager,18947,No,3,22,2,2,2,2
33,No,"Research & Development",Male,"Laboratory Technician",2496,No,3,7,3,1,1,0
44,No,"Research & Development",Male,"Healthcare Representative",6465,Yes,3,9,4,4,2,1
30,No,"Research & Development",Male,"Laboratory Technician",2206,No,3,10,3,10,0,1
39,Yes,Sales,Male,"Sales Representative",2086,No,3,19,4,1,0,0
